Data;Alcance do Instagram
24/04/2021;34655
25/04/2021;35345
26/04/2021;31758
27/04/2021;37802
28/04/2021;35745
29/04/2021;31462
30/04/2021;26826
01/05/2021;33444
02/05/2021;28259
03/05/2021;30631
04/05/2021;33601
05/05/2021;24353
06/05/2021;29185
07/05/2021;23379
08/05/2021;25635
09/05/2021;24003
10/05/2021;28747
11/05/2021;18613
12/05/2021;21618
13/05/2021;24852
14/05/2021;19532
15/05/2021;21937
16/05/2021;23700
17/05/2021;33531
18/05/2021;21086
19/05/2021;26221
20/05/2021;45905
21/05/2021;44934
22/05/2021;49403
23/05/2021;58052
24/05/2021;59380
25/05/2021;69863
26/05/2021;68902
27/05/2021;61053
28/05/2021;48486
29/05/2021;52750
30/05/2021;63383
31/05/2021;47383
01/06/2021;36781
02/06/2021;25646
03/06/2021;32004
04/06/2021;30511
05/06/2021;39472
06/06/2021;35323
07/06/2021;58811
08/06/2021;54355
09/06/2021;47601
10/06/2021;45792
11/06/2021;45091
12/06/2021;45563
13/06/2021;44035
14/06/2021;35648
15/06/2021;24606
16/06/2021;37799
17/06/2021;28040
18/06/2021;17262
19/06/2021;31143
20/06/2021;23072
21/06/2021;17205
22/06/2021;27480
23/06/2021;32508
24/06/2021;39169
25/06/2021;25637
26/06/2021;35151
27/06/2021;26427
28/06/2021;31670
29/06/2021;21471
30/06/2021;33867
01/07/2021;23833
02/07/2021;40104
03/07/2021;32260
04/07/2021;24998
05/07/2021;34715
06/07/2021;27542
07/07/2021;45557
08/07/2021;58005
09/07/2021;128916
10/07/2021;108700
11/07/2021;95863
12/07/2021;87800
13/07/2021;61416
14/07/2021;79115
15/07/2021;91091
16/07/2021;106578
17/07/2021;134301
18/07/2021;101536
19/07/2021;105802
20/07/2021;114050
21/07/2021;87934
22/07/2021;71201
23/07/2021;38086
24/07/2021;16687
25/07/2021;16826
26/07/2021;20916
27/07/2021;77396
28/07/2021;53395
29/07/2021;59917
30/07/2021;34603
31/07/2021;16816
01/08/2021;33746
02/08/2021;40045
03/08/2021;25704
04/08/2021;17591
05/08/2021;13438
06/08/2021;19402
07/08/2021;24910
08/08/2021;7701
09/08/2021;29559
10/08/2021;41503
11/08/2021;19334
12/08/2021;24965
13/08/2021;37757
14/08/2021;35686
15/08/2021;39844
16/08/2021;19093
17/08/2021;28608
18/08/2021;24899
19/08/2021;29889
20/08/2021;40276
21/08/2021;29756
22/08/2021;30741
23/08/2021;24539
24/08/2021;17292
25/08/2021;25834
26/08/2021;24423
27/08/2021;43161
28/08/2021;33343
29/08/2021;36432
30/08/2021;19521
31/08/2021;24709
01/09/2021;31786
02/09/2021;32286
03/09/2021;32978
04/09/2021;41159
05/09/2021;13446
06/09/2021;17597
07/09/2021;23445
08/09/2021;43210
09/09/2021;39602
10/09/2021;38364
11/09/2021;19942
12/09/2021;13626
13/09/2021;15877
14/09/2021;52148
15/09/2021;20916
16/09/2021;30271
17/09/2021;31768
18/09/2021;24423
19/09/2021;14967
20/09/2021;18078
21/09/2021;25630
22/09/2021;11737
23/09/2021;15808
24/09/2021;26332
25/09/2021;26939
26/09/2021;5310
27/09/2021;26587
28/09/2021;24114
29/09/2021;26668
30/09/2021;30529
01/10/2021;30504
02/10/2021;42780
03/10/2021;10617
04/10/2021;20607
05/10/2021;24733
06/10/2021;14534
07/10/2021;18338
08/10/2021;31221
09/10/2021;37769
10/10/2021;28429
11/10/2021;23293
12/10/2021;17985
13/10/2021;17429
14/10/2021;22507
15/10/2021;44811
16/10/2021;73248
17/10/2021;41485
18/10/2021;36035
19/10/2021;20007
20/10/2021;34442
21/10/2021;21579
22/10/2021;36398
23/10/2021;40825
24/10/2021;30686
25/10/2021;34694
26/10/2021;25245
27/10/2021;13575
28/10/2021;15766
29/10/2021;14364
30/10/2021;16094
31/10/2021;26060
01/11/2021;18680
02/11/2021;22015
03/11/2021;32478
04/11/2021;42889
05/11/2021;42974
06/11/2021;38901
07/11/2021;41679
08/11/2021;59549
09/11/2021;48709
10/11/2021;73903
11/11/2021;54789
12/11/2021;55899
13/11/2021;71798
14/11/2021;71502
15/11/2021;73892
16/11/2021;50587
17/11/2021;44015
18/11/2021;30484
19/11/2021;27251
20/11/2021;26161
21/11/2021;14191
22/11/2021;13895
23/11/2021;19500
24/11/2021;20020
25/11/2021;9608
26/11/2021;13480
27/11/2021;22383
28/11/2021;38711
29/11/2021;33367
30/11/2021;23428
01/12/2021;26752
02/12/2021;32625
03/12/2021;36532
04/12/2021;28013
05/12/2021;17574
06/12/2021;22561
07/12/2021;19668
08/12/2021;14820
09/12/2021;27717
10/12/2021;18924
11/12/2021;18422
12/12/2021;11219
13/12/2021;18123
14/12/2021;17670
15/12/2021;14847
16/12/2021;4655
17/12/2021;23725
18/12/2021;11794
19/12/2021;3050
20/12/2021;8142
21/12/2021;9948
22/12/2021;6774
23/12/2021;12836
24/12/2021;6889
25/12/2021;23234
26/12/2021;22085
27/12/2021;19394
28/12/2021;7466
29/12/2021;1951
30/12/2021;6633
31/12/2021;977
01/01/2022;513
02/01/2022;26801
03/01/2022;8280
04/01/2022;23292
05/01/2022;23471
06/01/2022;8243
07/01/2022;26832
08/01/2022;24065
09/01/2022;16645
10/01/2022;4588
11/01/2022;1220
12/01/2022;7750
13/01/2022;1599
14/01/2022;2025
15/01/2022;9388
16/01/2022;20576
17/01/2022;5708
18/01/2022;3309
19/01/2022;1372
20/01/2022;10212
21/01/2022;24229
22/01/2022;12516
23/01/2022;29089
24/01/2022;15890
25/01/2022;10583
26/01/2022;14908
27/01/2022;2867
28/01/2022;10961
29/01/2022;9647
30/01/2022;2601
31/01/2022;847
01/02/2022;398
02/02/2022;1056
03/02/2022;20878
04/02/2022;18321
05/02/2022;22359
06/02/2022;24139
07/02/2022;7175
08/02/2022;1474
09/02/2022;7311
10/02/2022;4478
11/02/2022;1925
12/02/2022;667
13/02/2022;37720
14/02/2022;6548
15/02/2022;16134
16/02/2022;11965
17/02/2022;5716
18/02/2022;14756
19/02/2022;8768
20/02/2022;18514
21/02/2022;5507
22/02/2022;1054
23/02/2022;502
24/02/2022;6696
25/02/2022;4425
26/02/2022;2792
27/02/2022;29834
28/02/2022;9331
01/03/2022;2980
02/03/2022;809
03/03/2022;2175
04/03/2022;674
05/03/2022;5197
06/03/2022;25317
07/03/2022;21759
08/03/2022;10667
09/03/2022;6008
10/03/2022;3221
11/03/2022;934
12/03/2022;529
13/03/2022;15721
14/03/2022;4173
15/03/2022;4704
16/03/2022;19331
17/03/2022;25141
18/03/2022;32373
19/03/2022;17366
20/03/2022;30535
21/03/2022;14412
22/03/2022;10847
23/03/2022;13675
24/03/2022;14737
25/03/2022;19659
