link_permanente,tipo_de_publicação,impressões,alcance,compartilhamentos,seguimentos,curtidas,comentários,salvamentos,data,horario
https://www.instagram.com/p/CYUGkszrE_f/,Carrossel do Instagram,12277,10268,59,6,553,1,51,2022-01-04,08:01:00
https://www.instagram.com/p/CYUkhXqIaug/,Imagem do Instagram,32603,30742,433,4,1337,155,60,2022-01-04,12:01:00
https://www.instagram.com/p/CYWOHpDp69f/,Carrossel do Instagram,31335,26389,916,144,2597,53,393,2022-01-05,03:01:00
https://www.instagram.com/p/CYcTudxJjyi/,Carrossel do Instagram,49411,39667,256,40,3345,17,695,2022-01-07,12:01:00
https://www.instagram.com/p/CYe6S3uLaVl/,Imagem do Instagram,28463,26410,66,18,1025,19,78,2022-01-08,12:01:00
https://www.instagram.com/p/CYhdTy_KGz7/,Carrossel do Instagram,19183,16078,113,8,726,13,589,2022-01-09,12:01:00
https://www.instagram.com/p/CYoogjtrqnB/,Imagem do Instagram,11571,10575,9,2,415,8,10,2022-01-12,07:01:00
https://www.instagram.com/p/CYw7zzErc_n/,Imagem do Instagram,17914,16186,48,2,815,1,67,2022-01-15,12:01:00
https://www.instagram.com/p/CYzUoVGIf1J/,Imagem do Instagram,29604,28046,368,12,2490,30,139,2022-01-16,11:01:00
https://www.instagram.com/p/CY9F2h2sr3d/,Carrossel do Instagram,16426,13915,74,4,831,9,50,2022-01-20,06:01:00
https://www.instagram.com/p/CZAYqUqMKvw/,Imagem do Instagram,39594,36257,844,36,2715,19,459,2022-01-21,12:01:00
https://www.instagram.com/p/CZFWOcGsXFu/,Imagem do Instagram,39704,37584,274,24,3407,17,109,2022-01-23,11:01:00
https://www.instagram.com/p/CZIPvwEOCAb/,Imagem do Instagram,17219,16431,41,8,448,13,37,2022-01-24,14:01:00
https://www.instagram.com/p/CZMju-lM-Vl/,Imagem do Instagram,22299,20771,126,42,1293,8,113,2022-01-26,06:01:00
https://www.instagram.com/p/CZRvP9-L_Mq/,Carrossel do Instagram,21091,17666,145,30,1247,17,105,2022-01-28,06:01:00
https://www.instagram.com/p/CZUQodqo458/,Imagem do Instagram,11770,10768,33,6,514,2,28,2022-01-29,06:01:00
https://www.instagram.com/p/CZg6rlhMWMn/,Carrossel do Instagram,32691,27303,453,26,2303,93,220,2022-02-03,03:02:00
https://www.instagram.com/p/CZkbKANluRQ/,Carrossel do Instagram,41836,33055,378,99,2668,41,386,2022-02-04,12:02:00
https://www.instagram.com/p/CZm3i5CNktO/,Imagem do Instagram,25563,23698,47,6,921,57,32,2022-02-05,11:02:00
https://www.instagram.com/p/CZpZSkpOUmt/,Imagem do Instagram,31630,31630,384,6,1505,35,47,2022-02-06,11:02:00
https://www.instagram.com/p/CZxZFJSvutu/,Carrossel do Instagram,17547,14985,96,14,1084,20,77,2022-02-09,13:02:00
https://www.instagram.com/p/CZ7bORAIez3/,Carrossel do Instagram,54401,45396,792,36,4516,23,212,2022-02-13,11:02:00
https://www.instagram.com/p/CaAwmBRvXSc/,Imagem do Instagram,23879,22270,240,57,889,62,87,2022-02-15,12:02:00
https://www.instagram.com/p/CaDfrVEuKOZ/,Carrossel do Instagram,21303,16892,113,8,701,25,87,2022-02-16,14:02:00
https://www.instagram.com/p/CaIe63Dscq7/,Imagem do Instagram,30315,27757,144,16,2142,11,128,2022-02-18,12:02:00
https://www.instagram.com/p/CaNc7giv6GT/,Imagem do Instagram,28349,25951,202,2,1129,23,33,2022-02-20,11:02:00
https://www.instagram.com/p/CaYLvCSIA0P/,Carrossel do Instagram,14479,11608,36,4,532,11,76,2022-02-24,15:02:00
https://www.instagram.com/p/CafeTCHKGgJ/,Imagem do Instagram,45463,42813,258,14,3055,92,125,2022-02-27,11:02:00
https://www.instagram.com/p/CaxgCn2BDTM/,Imagem do Instagram,35614,33371,430,26,2494,31,119,2022-03-06,11:03:00
https://www.instagram.com/p/Ca0L8Pps-aP/,Carrossel do Instagram,7848,6377,22,8,232,0,35,2022-03-07,12:03:00
https://www.instagram.com/p/Ca0XJesuYNv/,Imagem do Instagram,33865,30639,188,40,1390,725,85,2022-03-07,13:03:00
https://www.instagram.com/p/Ca4w2moN5tG/,Carrossel do Instagram,7517,6074,42,8,312,3,20,2022-03-09,06:03:00
https://www.instagram.com/p/CbDhIxCr5Ll/,Imagem do Instagram,24300,22644,84,22,1527,23,63,2022-03-13,12:03:00
