Data;Seguidores do Instagram
24/04/2021;1463
25/04/2021;1608
26/04/2021;1730
27/04/2021;1443
28/04/2021;1456
29/04/2021;1286
30/04/2021;1114
01/05/2021;1297
02/05/2021;1330
03/05/2021;1082
04/05/2021;1021
05/05/2021;1009
06/05/2021;2140
07/05/2021;1757
08/05/2021;1159
09/05/2021;921
10/05/2021;1335
11/05/2021;1276
12/05/2021;1133
13/05/2021;1044
14/05/2021;1044
15/05/2021;1082
16/05/2021;965
17/05/2021;1866
18/05/2021;1251
19/05/2021;1237
20/05/2021;2358
21/05/2021;2511
22/05/2021;2848
23/05/2021;3217
24/05/2021;4113
25/05/2021;4472
26/05/2021;4382
27/05/2021;3767
28/05/2021;3381
29/05/2021;3219
30/05/2021;3934
31/05/2021;3003
01/06/2021;1839
02/06/2021;1067
03/06/2021;1752
04/06/2021;1581
05/06/2021;1905
06/06/2021;2249
07/06/2021;3487
08/06/2021;2681
09/06/2021;3589
10/06/2021;3543
11/06/2021;3114
12/06/2021;2017
13/06/2021;1803
14/06/2021;1933
15/06/2021;1160
16/06/2021;1373
17/06/2021;1134
18/06/2021;802
19/06/2021;992
20/06/2021;846
21/06/2021;815
22/06/2021;1418
23/06/2021;1752
24/06/2021;2001
25/06/2021;1377
26/06/2021;1294
27/06/2021;1091
28/06/2021;1229
29/06/2021;1543
30/06/2021;1667
01/07/2021;1524
02/07/2021;1458
03/07/2021;1259
04/07/2021;1187
05/07/2021;1487
06/07/2021;1266
07/07/2021;1553
08/07/2021;1908
09/07/2021;2570
10/07/2021;1918
11/07/2021;1843
12/07/2021;2450
13/07/2021;1934
14/07/2021;2550
15/07/2021;3415
16/07/2021;2756
17/07/2021;2568
18/07/2021;3276
19/07/2021;3680
20/07/2021;4395
21/07/2021;3352
22/07/2021;2695
23/07/2021;1532
24/07/2021;600
25/07/2021;585
26/07/2021;681
27/07/2021;6152
28/07/2021;5016
29/07/2021;2882
30/07/2021;1570
31/07/2021;933
01/08/2021;1371
02/08/2021;2153
03/08/2021;1999
04/08/2021;2006
05/08/2021;1324
06/08/2021;845
07/08/2021;1033
08/08/2021;536
09/08/2021;1136
10/08/2021;1613
11/08/2021;831
12/08/2021;1070
13/08/2021;1327
14/08/2021;1124
15/08/2021;796
16/08/2021;778
17/08/2021;946
18/08/2021;1144
19/08/2021;1160
20/08/2021;1544
21/08/2021;1166
22/08/2021;1558
23/08/2021;1340
24/08/2021;1507
25/08/2021;1129
26/08/2021;1313
27/08/2021;2614
28/08/2021;1906
29/08/2021;1918
30/08/2021;1133
31/08/2021;1217
01/09/2021;1032
02/09/2021;1534
03/09/2021;1165
04/09/2021;1175
05/09/2021;779
06/09/2021;1287
07/09/2021;1501
08/09/2021;1447
09/09/2021;1821
10/09/2021;1797
11/09/2021;830
12/09/2021;581
13/09/2021;683
14/09/2021;1045
15/09/2021;635
16/09/2021;1072
17/09/2021;1129
18/09/2021;778
19/09/2021;568
20/09/2021;583
21/09/2021;906
22/09/2021;577
23/09/2021;991
24/09/2021;804
25/09/2021;438
26/09/2021;317
27/09/2021;764
28/09/2021;814
29/09/2021;1079
30/09/2021;1076
01/10/2021;949
02/10/2021;1365
03/10/2021;583
04/10/2021;579
05/10/2021;1014
06/10/2021;841
07/10/2021;701
08/10/2021;875
09/10/2021;863
10/10/2021;771
11/10/2021;654
12/10/2021;555
13/10/2021;731
14/10/2021;662
15/10/2021;806
16/10/2021;2504
17/10/2021;1478
18/10/2021;986
19/10/2021;661
20/10/2021;933
21/10/2021;1089
22/10/2021;985
23/10/2021;850
24/10/2021;753
25/10/2021;1108
26/10/2021;881
27/10/2021;597
28/10/2021;768
29/10/2021;460
30/10/2021;485
31/10/2021;723
01/11/2021;610
02/11/2021;1009
03/11/2021;1087
04/11/2021;1579
05/11/2021;1470
06/11/2021;1470
07/11/2021;1326
08/11/2021;2579
09/11/2021;2367
10/11/2021;2799
11/11/2021;2440
12/11/2021;2155
13/11/2021;2537
14/11/2021;1687
15/11/2021;1519
16/11/2021;1292
17/11/2021;1288
18/11/2021;1107
19/11/2021;1118
20/11/2021;766
21/11/2021;546
22/11/2021;604
23/11/2021;657
24/11/2021;809
